Lionel Messi
Cristiano Ronaldo
Neymar Jr
Kylian Mbappé
Robert Lewandowski
Kevin De Bruyne
Mohamed Salah
Erling Haaland
Karim Benzema
Sadio Mané
Virgil van Dijk
Luka Modrić
Harry Kane
Bruno Fernandes
Raheem Sterling
Jadon Sancho
Antoine Griezmann
Paul Pogba
NGolo Kanté
Joshua Kimmich
Bernardo Silva
Riyad Mahrez
Marcus Rashford
Trent Alexander-Arnold
Alisson Becker
Ederson Moraes
Romelu Lukaku
Pierre-Emerick Aubameyang
Heung-Min Son
Jack Grealish
Phil Foden
Mason Mount
Declan Rice
Kai Havertz
Timo Werner
Hakim Ziyech
Thiago Alcântara
Andrew Robertson
David Alaba
Leon Goretzka
Thomas Müller
Manuel Neuer
Leroy Sané
Serge Gnabry
Kingsley Coman
Toni Kroos
Casemiro
Eden Hazard
Vinícius Jr
Rodri
João Félix
Frenkie de Jong
Matthijs de Ligt
Raphaël Varane
Marquinhos
Thiago Silva
Kalidou Koulibaly
Ruben Dias
John Stones
Aymeric Laporte
Kyle Walker
Reece James
Ben Chilwell
Jorginho
César Azpilicueta
Gerard Piqué
Sergio Ramos
Dani Carvajal
Jordi Alba
Ángel Di María
Christian Eriksen
Ciro Immobile
Lautaro Martínez
Dries Mertens
Josip Iličić
Memphis Depay
Ousmane Dembélé
Ansu Fati
Pedri
Gavi
Fede Valverde
Eduardo Camavinga
Aurélien Tchouaméni
Jude Bellingham
Bukayo Saka
Emile Smith Rowe
Gabriel Martinelli
Martin Ødegaard
Aaron Ramsdale
William Saliba
Gabriel Magalhães
Thomas Partey
Granit Xhaka
Dominik Szoboszlai
Diogo Jota
Luis Díaz
Darwin Núñez
Cody Gakpo
Ibrahima Konaté
Wesley Fofana
Enzo Fernández
Mykhailo Mudryk
Raúl Jiménez
Hirving Lozano
Jesús Corona
Edson Álvarez
Santiago Giménez
Alexis Vega
Orbelín Pineda
Luis Chávez
César Montes
Jorge Sánchez
Héctor Herrera
Andrés Guardado
Guillermo Ochoa
Dusan Vlahović
Federico Chiesa
Nicolo Barella
Lorenzo Pellegrini
Marco Verratti
Giovanni Di Lorenzo
Leonardo Spinazzola
Francesco Acerbi
Alessandro Bastoni
Davide Calabria
Rafael Leão
Victor Osimhen
Khvicha Kvaratskhelia
Wilfried Zaha
Tammy Abraham
Chris Smalling
Paulo Dybala
Weston McKennie
Christian Pulisic
Gio Reyna
Tyler Adams
Brenden Aaronson
Folarin Balogun
Yunus Musah
Ricardo Pepi
Sergiño Dest
Antonee Robinson
Tim Weah
Karim Adeyemi
Julian Brandt
Marco Reus
Mats Hummels
Niklas Süle
Emre Can
Mahmoud Dahoud
Donyell Malen
Youssoufa Moukoko
Sébastien Haller
Josko Gvardiol
Marcelo Brozović
Ivan Perišić
Mateo Kovačić
Dominik Livaković
Borna Sosa
Bruno Petković
Andrej Kramarić
Mislav Oršić
Luka Jović
Sergej Milinković-Savić
Dušan Tadić
Aleksandar Mitrović
Filip Kostić
Nemanja Maksimović
Saša Lukić
Nikola Milenković
Strahinja Pavlović
Adem Ljajić
Victor Lindelöf
Anthony Martial
Lisandro Martínez
Raphaël Guerreiro
João Cancelo
Rúben Neves
Diogo Dalot
Nuno Mendes
Gonçalo Ramos
Otávio Monteiro
Matheus Nunes
Vítor Ferreira
Danilo Pereira
José Sá
Adama Traoré
Iñaki Williams
Nico Williams
Dani Olmo
Ferran Torres
Yeremy Pino
Álvaro Morata
Mikel Oyarzabal
Marcos Llorente
Koke Resurrección
Rodri Hernández
Unai Simón
David Raya
Pau Torres
Eric García
Jesús Navas
Fran García
Robin Le Normand
Alejandro Balde
Lamine Yamal
Pablo Sarabia
Mikel Merino
Fabián Ruiz
Carlos Soler
Brais Méndez
Gerard Moreno
Joselu Mato
Iago Aspas
Raúl de Tomás
Bruno Guimarães
Lucas Paquetá
Gabriel Jesus
Richarlison
Raphinha
Antony
Gabriel Barbosa
Everton Ribeiro
Renan Lodi
Alex Telles
Éder Militão
Bremer
Douglas Luiz
Joelinton
Andreas Pereira
Wesley Teixeira
Thiago Galhardo
Hulk
Giorgian de Arrascaeta
Pedro Gonçalves
Bernardo Mota
João Moutinho
André Silva
Diogo Costa
Rui Patrício
William Carvalho
Pizzi
Gelson Martins
Renato Sanches
Nélson Semedo
Cédric Soares
Domingos Duarte
Florentino Luís
Gonçalo Inácio
Pedro Neto
Trincão
Vitinha
Dany Mota
Ricardo Horta
Samuel Lino
João Palhinha
Zé Pedro
Tiago Djaló
Fábio Silva
Noni Madueke
Cole Palmer
Conor Gallagher
Levi Colwill
Malo Gusto
Tino Livramento
Valentino Livramento
Rico Lewis
Morgan Gibbs-White
Eberechi Eze
Ollie Watkins
Jarrod Bowen
Dominic Solanke
Ivan Toney
Harvey Elliott
Curtis Jones
Jarell Quansah
Kobbie Mainoo
Adam Wharton
Lewis Hall
Jadon Musiala
Florian Wirtz
Kai Wirtz
Leroy Sané
Leon Bailey
Tajon Buchanan
Alphonso Davies
Jonathan David
Cyle Larin
Theo Corbeanu
Ismaël Koné
Stephen Eustáquio
Samuel Piette
Junior Hoilett
Milan Borjan
Dayne St. Clair
Maxime Crépeau
Patson Daka
Enes Ünal
Cengiz Ünder
Hakan Çalhanoğlu
Merih Demiral
Ozan Tufan
Çağlar Söyüncü
Kaan Ayhan
Orkun Kökçü
Salih Özcan
Yusuf Yazıcı
Kerem Aktürkoğlu
Abdülkadir Ömür
Arda Güler
Zeki Çelik
Uğurcan Çakır
Mert Günok
Altay Bayındır
Victor Boniface
Nathan Tella
Samuel Chukwueze
Alex Iwobi
Wilfred Ndidi
Kelechi Iheanacho
Ola Aina
Calvin Bassey
Semi Ajayi
Leon Balogun
Zaidu Sanusi
Joe Aribo
Frank Onyeka
Raphael Onyedika
Alhassan Yusuf
Ademola Lookman
Victor Osimhen
Paul Onuachu
Sadiq Umar
Terem Moffi
Cyriel Dessers
Kevin Schade
Mikel Arteta
Gabriel Batistuta
Eden Hazard
Leroy Sané
Marcus Thuram
Dayot Upamecano
Adrien Rabiot
Ousmane Dembélé
Kingsley Coman
Aurélien Tchouaméni
Eduardo Camavinga
William Saliba
Ibrahima Konaté
Jules Koundé
Theo Hernández
Lucas Hernández
Mike Maignan
Benjamin Pavard
Jonathan Clauss
Youssouf Fofana
Antoine Griezmann
Olivier Giroud
Randal Kolo Muani
Marcus Rashford
Bukayo Saka
Jude Bellingham
Phil Foden
Declan Rice
Harry Kane
Jack Grealish
Cole Palmer
Ollie Watkins
Jarrod Bowen
Trent Alexander-Arnold
Aaron Ramsdale
Jordan Pickford
Kyle Walker
John Stones
Harry Maguire
Luke Shaw
Ben Chilwell
Reece James
Kieran Trippier
Conor Gallagher
Jordan Henderson
Kalvin Phillips
Mason Mount
James Maddison
Eberechi Eze
Harvey Elliott
Curtis Jones
Kobbie Mainoo
Adam Wharton
Rico Lewis
Morgan Gibbs-White
Noni Madueke
Tino Livramento
Levi Colwill
Jarell Quansah
Lewis Hall
Valentino Livramento
Malo Gusto
Dominic Solanke
Ivan Toney
Dominik Szoboszlai
Diogo Jota
Luis Díaz
Darwin Núñez
Cody Gakpo
Mohamed Salah
Virgil van Dijk
Alisson Becker
Ibrahima Konaté
Andrew Robertson
Trent Alexander-Arnold
Joe Gomez
Kostas Tsimikas
Wataru Endo
Ryan Gravenberch
Curtis Jones
Harvey Elliott
Stefan Bajcetic
Alexis Mac Allister
Martin Ødegaard
Bukayo Saka
Gabriel Martinelli
Declan Rice
William Saliba
Gabriel Magalhães
Ben White
Oleksandr Zinchenko
Thomas Partey
Kai Havertz
Leandro Trossard
Gabriel Jesus
Eddie Nketiah
Jurrien Timber
David Raya
Aaron Ramsdale
Emile Smith Rowe
Fabio Vieira
 Reiss Nelson
Charles Sagoe Jr
Myles Lewis-Skelly
Ethan Nwaneri
Lamine Yamal
Gavi
Pedri
Ansu Fati
Ferran Torres
Dani Olmo
Nico Williams
Álvaro Morata
Mikel Oyarzabal
Lamine Yamal
Alejandro Balde
Pau Torres
Robin Le Normand
Aymeric Laporte
Dani Carvajal
Jesús Navas
Fran García
David Raya
Unai Simón
Eric García
Marcos Llorente
Koke Resurrección
Rodri Hernández
Mikel Merino
Fabián Ruiz
Carlos Soler
Brais Méndez
Gerard Moreno
Joselu Mato
Iago Aspas
Raúl de Tomás
Pablo Sarabia
Yeremy Pino
Lamine Yamal
Gavi
Pedri
Ansu Fati
Ferran Torres
Dani Olmo
Nico Williams
Álvaro Morata
Mikel Oyarzabal
Lamine Yamal
Alejandro Balde
Pau Torres
Robin Le Normand
Aymeric Laporte
Dani Carvajal
Jesús Navas
Fran García
David Raya
Unai Simón
Eric García
Marcos Llorente
Koke Resurrección
Rodri Hernández
Mikel Merino
Fabián Ruiz
Carlos Soler
Brais Méndez
Gerard Moreno
Joselu Mato
Iago Aspas
